image_path,label,degrees,source,messy,paddle_pred,paddle_lat,onnx_pred,onnx_lat,optimum_pred,optimum_lat
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_clean/AUDITED REPORT 2081 (1) (1)_page_0001_rot0.png,0,0,AUDITED REPORT 2081 (1) (1)_page_0001.png,False,0,186.22341699665412,0,45.01516699383501,0,39.6983749960782
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_clean/AUDITED REPORT 2081 (1) (1)_page_0001_rot90.png,1,90,AUDITED REPORT 2081 (1) (1)_page_0001.png,False,1,37.765290995594114,1,24.06495799368713,1,23.002749992883764
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_clean/AUDITED REPORT 2081 (1) (1)_page_0001_rot180.png,2,180,AUDITED REPORT 2081 (1) (1)_page_0001.png,False,2,33.82229199633002,2,21.620917003019713,2,22.520083002746105
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_clean/AUDITED REPORT 2081 (1) (1)_page_0001_rot270.png,3,270,AUDITED REPORT 2081 (1) (1)_page_0001.png,False,3,31.423458000062965,3,21.649499991326593,3,22.093791005318053
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_clean/AUDITED REPORT 2081 (1) (1)_page_0002_rot0.png,0,0,AUDITED REPORT 2081 (1) (1)_page_0002.png,False,0,33.853457993245684,0,21.53912499488797,0,23.740083997836336
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_clean/AUDITED REPORT 2081 (1) (1)_page_0002_rot90.png,1,90,AUDITED REPORT 2081 (1) (1)_page_0002.png,False,1,33.16666699538473,1,22.020042000804096,1,21.259125001961365
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_clean/AUDITED REPORT 2081 (1) (1)_page_0002_rot180.png,2,180,AUDITED REPORT 2081 (1) (1)_page_0002.png,False,2,38.34604199801106,2,20.863083002041094,2,23.20295800745953
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_clean/AUDITED REPORT 2081 (1) (1)_page_0002_rot270.png,3,270,AUDITED REPORT 2081 (1) (1)_page_0002.png,False,3,36.731374988448806,3,21.794166998006403,3,21.98604198929388
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_clean/AUDITED REPORT 2081 (1) (1)_page_0003_rot0.png,0,0,AUDITED REPORT 2081 (1) (1)_page_0003.png,False,0,34.09549999923911,0,21.28404199902434,0,21.58370900724549
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_clean/AUDITED REPORT 2081 (1) (1)_page_0003_rot90.png,1,90,AUDITED REPORT 2081 (1) (1)_page_0003.png,False,1,32.6989580062218,1,21.952540992060676,1,21.209541999269277
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_clean/AUDITED REPORT 2081 (1) (1)_page_0003_rot180.png,2,180,AUDITED REPORT 2081 (1) (1)_page_0003.png,False,2,32.14158299670089,2,22.87883299868554,2,21.40304198837839
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_clean/AUDITED REPORT 2081 (1) (1)_page_0003_rot270.png,3,270,AUDITED REPORT 2081 (1) (1)_page_0003.png,False,3,31.056833991897292,3,22.984291004831903,3,21.892999997362494
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated_clean/AUDITED REPORT 2081 (1) (1)_page_0004_rot0.png,0,0,AUDITED REPORT 2081 (1) (1)_page_0004.png,False,0,31.516834002104588,0,21.624165994580835,0,21.42829199146945
