image_path,label,degrees,source,messy,paddle_pred,paddle_lat,onnx_pred,onnx_lat,optimum_pred,optimum_lat
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated/page_0001_rot0.png,0,0,page_0001.png,False,0,65.48562500393018,0,34.066082997014746,0,59.37479100248311
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated/page_0001_rot90.png,1,90,page_0001.png,False,1,49.48395800602157,1,38.277957995887846,1,74.91575001040474
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated/page_0001_rot180.png,2,180,page_0001.png,True,2,46.12462500517722,2,36.6443750099279,2,46.40891699818894
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated/page_0001_rot270.png,3,270,page_0001.png,True,1,47.325999999884516,1,40.82745799678378,1,45.465207993402146
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated/page_0004_rot0.png,0,0,page_0004.png,True,0,34.905791995697655,0,25.581875001080334,0,29.6772910078289
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated/page_0004_rot90.png,1,90,page_0004.png,False,1,42.025917005958036,1,37.00933400250506,1,40.701415986404754
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated/page_0004_rot180.png,2,180,page_0004.png,False,2,41.834208997897804,2,34.71908399660606,2,61.175499999080785
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated/page_0004_rot270.png,3,270,page_0004.png,False,3,64.51166700571775,3,34.201290996861644,3,39.579292002599686
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated/page_0005_rot0.png,0,0,page_0005.png,False,0,40.49108299659565,0,33.02545899350662,0,35.43874999741092
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated/page_0005_rot90.png,1,90,page_0005.png,True,1,36.93808299431112,1,29.76341699832119,1,39.76966699701734
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated/page_0005_rot180.png,2,180,page_0005.png,True,2,42.62916700099595,2,35.14775000803638,2,43.919791001826525
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated/page_0005_rot270.png,3,270,page_0005.png,False,3,41.658791989902966,3,36.130333013716154,3,39.770999996108
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated/page_0006_rot0.png,0,0,page_0006.png,False,0,32.3806669912301,0,25.463624988333322,0,26.90079199965112
/Users/urgensingtan/Desktop/aaamnil_workspace/Research-page-orientation/data/english_only_rotated/page_0006_rot90.png,1,90,page_0006.png,False,1,44.58324999723118,1,37.383916991529986,1,39.50533299939707
